LAPTOP LIFT RANKING,lhs,,rhs,support,confidence,coverage,lift,count
[1],"{Acer Aspire,ViewSonic Monitor}",=>,{HP Laptop},0.010777834,0.602272727,0.017895272,3.102856088,106
[2],"{Dell Desktop,ViewSonic Monitor}",=>,{HP Laptop},0.015251652,0.574712644,0.026537875,2.960868963,150
[3],"{CYBERPOWER Gamer Desktop,ViewSonic Monitor}",=>,{HP Laptop},0.012201322,0.50209205,0.024300966,2.586734056,120
[4],"{Lenovo Desktop Computer,ViewSonic Monitor}",=>,{HP Laptop},0.01403152,0.494623656,0.028368073,2.548257546,138
[5],"{iMac,ViewSonic Monitor}",=>,{HP Laptop},0.0236909,0.479423868,0.049415353,2.469949578,233
[6],"{Apple Magic Keyboard,Lenovo Desktop Computer}",=>,{HP Laptop},0.010574479,0.479262673,0.022064057,2.469119113,104
[7],"{Acer Aspire,Dell Desktop}",=>,{HP Laptop},0.011082867,0.467811159,0.0236909,2.410121921,109
[8],"{iMac,LG Monitor}",=>,{HP Laptop},0.010269446,0.461187215,0.022267412,2.375995943,101
[9],"{Apple Magic Keyboard,iMac}",=>,{HP Laptop},0.014743264,0.455974843,0.032333503,2.349142262,145
[10],"{Acer Desktop,Dell Desktop}",=>,{HP Laptop},0.012404677,0.448529412,0.027656329,2.310784057,122
[11],"{ASUS 2 Monitor,Lenovo Desktop Computer}",=>,{iMac},0.010879512,0.591160221,0.01840366,2.30808288,107
[12],"{Apple Magic Keyboard,Dell Desktop}",=>,{iMac},0.010167768,0.584795322,0.017386884,2.28323223,100
[13],"{ASUS Monitor,HP Laptop}",=>,{iMac},0.011794611,0.582914573,0.020233859,2.275889172,116
[14],"{ASUS 2 Monitor,HP Laptop}",=>,{iMac},0.011082867,0.582887701,0.019013726,2.275784254,109
[15],"{Acer Desktop,iMac}",=>,{HP Laptop},0.015963396,0.438547486,0.03640061,2.259358054,157
[16],"{Acer Aspire,iMac}",=>,{HP Laptop},0.013421454,0.437086093,0.03070666,2.251829084,132
[17],{ViewSonic Monitor},=>,{HP Laptop},0.047991866,0.435023041,0.110320285,2.241200426,472
[18],{Computer Game},=>,{HP Laptop},0.01799695,0.428571429,0.041992883,2.207962284,177
[19],"{ASUS Monitor,iMac}",=>,{HP Laptop},0.011794611,0.426470588,0.027656329,2.197138939,116
[20],"{Dell Desktop,ViewSonic Monitor}",=>,{iMac},0.014743264,0.555555556,0.026537875,2.169070619,145
[21],"{Lenovo Desktop Computer,ViewSonic Monitor}",=>,{iMac},0.015760041,0.555555556,0.028368073,2.169070619,155
[22],"{HP Laptop,Microsoft Office Home and Student 2016}",=>,{iMac},0.012913066,0.552173913,0.023385867,2.15586758,127
[23],"{iMac,Microsoft Office Home and Student 2016}",=>,{HP Laptop},0.012913066,0.416393443,0.031011693,2.145222372,127
[24],"{Acer Desktop,ViewSonic Monitor}",=>,{iMac},0.01006609,0.543956044,0.018505338,2.123782331,99
[25],{HP Wireless Mouse},=>,{HP Laptop},0.017895272,0.411214953,0.043518048,2.118543251,176
[26],"{Dell Desktop,Lenovo Desktop Computer}",=>,{HP Laptop},0.015048297,0.409972299,0.036705643,2.112141206,148
[27],"{Dell Desktop,iMac}",=>,{HP Laptop},0.022267412,0.407821229,0.054600915,2.101059082,219
[28],{Eluktronics Pro Gaming Laptop},=>,{HP Laptop},0.014438231,0.404558405,0.035688866,2.084249297,142
[29],{Apple Magic Keyboard},=>,{HP Laptop},0.028876462,0.402836879,0.071682766,2.075380152,284
[30],"{Acer Desktop,Lenovo Desktop Computer}",=>,{iMac},0.012302999,0.530701754,0.023182511,2.072033249,121
