"","lhs","","rhs","support","confidence","coverage","lift","count"
"[1]","{Acer Aspire,HP Laptop}","=>","{ViewSonic Monitor}",0.0107778342653787,0.370629370629371,0.0290798169801729,3.359575907963,106
"[2]","{Dell Desktop,HP Laptop}","=>","{ViewSonic Monitor}",0.0152516522623284,0.339366515837104,0.0449415353329944,3.07619325645891,150
"[3]","{ASUS Chromebook}","=>","{ViewSonic Monitor}",0.0174885612608033,0.333333333333333,0.0524656837824098,3.02150537634409,172
"[4]","{HP Laptop,iMac}","=>","{ViewSonic Monitor}",0.0236908998474835,0.313593539703903,0.0755465175394001,2.84257369860635,233
"[5]","{HP Laptop,Lenovo Desktop Computer}","=>","{ViewSonic Monitor}",0.0140315200813421,0.303964757709251,0.0461616675139807,2.75529344891289,138
"[6]","{CYBERPOWER Gamer Desktop,HP Laptop}","=>","{ViewSonic Monitor}",0.0122013218098627,0.286396181384248,0.0426029486527707,2.59604280545077,120
"[7]","{Computer Game}","=>","{ViewSonic Monitor}",0.011997966446365,0.285714285714286,0.0419928825622776,2.58986175115207,118
"[8]","{Acer Desktop,iMac}","=>","{ViewSonic Monitor}",0.0100660904931368,0.276536312849162,0.0364006100660905,2.50666786808434,99
"[9]","{Dell Desktop,iMac}","=>","{ViewSonic Monitor}",0.0147432638535841,0.270018621973929,0.0546009150991357,2.44758815402175,145
"[10]","{iMac,Lenovo Desktop Computer}","=>","{ViewSonic Monitor}",0.0157600406710727,0.268166089965398,0.0587697000508388,2.43079584775086,155
"[11]","{HP Wireless Mouse}","=>","{ViewSonic Monitor}",0.0108795119471276,0.25,0.0435180477885104,2.26612903225806,107
"[12]","{HP Laptop}","=>","{ViewSonic Monitor}",0.0479918657854601,0.247249869041383,0.194102694458566,2.24120042582673,472
"[13]","{Epson Printer}","=>","{ViewSonic Monitor}",0.0117946110828673,0.245243128964059,0.0480935434672089,2.22301029802905,116
"[14]","{Apple Magic Keyboard}","=>","{ViewSonic Monitor}",0.0173868835790544,0.242553191489362,0.0716827656329436,2.19862731640357,171
"[15]","{LG Monitor}","=>","{ViewSonic Monitor}",0.0138281647178444,0.239858906525573,0.0576512455516014,2.1742049268931,136
"[16]","{ASUS Monitor}","=>","{ViewSonic Monitor}",0.0129130655821047,0.23302752293578,0.0554143365531266,2.11228174015981,127
"[17]","{Microsoft Office Home and Student 2016}","=>","{ViewSonic Monitor}",0.0151499745805796,0.22782874617737,0.0664972038637519,2.06515734438197,149
"[18]","{CYBERPOWER Gamer Desktop,iMac}","=>","{ViewSonic Monitor}",0.0128113879003559,0.225806451612903,0.0567361464158617,2.0468262226847,126
"[19]","{Acer Aspire}","=>","{ViewSonic Monitor}",0.0178952719877987,0.216216216216216,0.0827656329435689,1.95989537925022,176
"[20]","{ASUS 2 Monitor}","=>","{ViewSonic Monitor}",0.0115912557193696,0.201058201058201,0.0576512455516014,1.82249530636627,114
